96,56,4
58, 6,4
2 , 1,2
2 , 6,2
6 ,20,22
26,57,35
96,28,2
88,28,10
93, 6,2
93, 7,2
93, 1,5
14,84,16
79,82,2
79,84,4
94,28,40
79,77,4
79,70,6
1 ,28,2
85,69,2
85,61,2
56,15,16
56,14,8
56,17,24
13,88,8
56,13,18
79, 5,4
13,85,26
13,84,21
42,13,6
13,80,26
13,82,16
1 , 7,2
58,79,2
58,77,6
95,90,6
62,15,2
95,94,22
95,96,4
70,38,6
70,85,2
85,13,14
38,42,4
90,56,2
28, 9,8
7 ,41,2
61,77,4
7 ,42,18
28, 2,6
28, 1,2
28, 6,6
6 ,94,2
28, 4,6
28, 5,50
14,58,2
84,93,2
84,90,2
84,96,2
84,95,2
13,17,16
13,15,17
28,42,20
28,41,16
67, 2,8
93,84,4
94, 5,8
4 ,15,2
4 ,77,4
4 ,70,2
96,15,2
96,14,4
90, 6,2
90, 5,2
80,28,2
90, 2,2
62,84,2
80,20,8
62,80,2
15,95,16
13, 5,26
1 ,14,4
1 ,15,2
79,42,6
6 ,77,12
80,41,6
62,42,2
6 ,70,2
26,28,2
6 ,79,6
62,14,2
7 ,95,14
62,79,2
1 ,62,6
9 ,15,4
56,58,14
95, 2,2
58,38,4
95, 6,2
95, 7,8
56,57,2
95, 5,16
95,56,30
93,38,2
95,58,8
9 ,61,2
69,85,2
15,41,4
9 ,62,2
94,56,12
94,58,6
69,88,2
85,56,44
90,93,4
85,58,6
90,95,4
90,94,2
70,90,2
70,93,2
70,95,6
70,94,2
70,96,2
84, 9,2
13,58,4
13,56,24
84, 5,2
84, 6,2
14,61,2
70, 1,2
85,28,64
1 ,88,2
88,80,10
7 ,79,16
61,28,4
79,80,6
15, 6,2
7 ,77,12
7 ,70,15
80,62,2
28,90,6
28,93,10
28,94,38
28,95,38
28,96,2
15,42,12
93,62,4
7 ,38,11
80,77,12
15, 9,2
42, 6,8
42, 7,18
42, 5,4
26,67,4
26,69,11
28,68,2
38,13,12
88,38,3
62,56,2
56,95,30
56,94,18
56,96,4
56,90,2
9 ,56,2
93,79,2
93,70,2
79,93,6
79,90,4
28,62,6
79,96,4
94,17,22
94,15,12
94,14,2
94,13,12
90,85,2
95,13,24
95,14,6
95,15,14
95,17,24
80,85,2
80,84,28
80,82,16
80,88,6
70,58,2
2 ,15,2
70,57,2
70,56,3
85,15,9
85,17,30
69,26,13
14,20,6
57,28,6
13,96,2
13,94,4
13,95,20
57,26,39
69,28,4
56, 5,14
56, 4,6
56, 7,10
56, 6,7
69, 2,11
56, 2,2
42,79,6
56, 9,2
70,28,2
26, 5,2
26, 6,2
26, 2,11
2 ,82,2
14,62,2
95,62,6
90,41,4
38,79,2
38,77,8
38,70,6
28,56,58
28,57,6
42,28,4
28,58,16
14,96,6
14,95,4
14,93,28
14,90,10
68,94,2
42,77,4
13,28,6
42,70,8
93,96,8
42,38,2
93,95,2
93,90,6
67,57,2
84,14,4
80,38,8
90,38,2
88,70,27
96,93,8
96,95,2
96,94,2
88,77,4
62,96,12
88,79,2
62,95,4
62,93,2
79,56,6
80, 5,28
80, 6,18
80, 7,42
14,38,2
84, 7,8
15,85,7
38,95,22
38,94,30
38,96,4
38,90,2
38,93,4
69,38,2
6 , 7,10
94,90,4
67,69,2
57,69,5
57,67,2
58,20,2
56,42,8
58,28,14
56,41,10
69,67,2
95,28,34
15,58,4
85, 5,24
15,56,14
96,38,4
9 ,90,2
94,41,4
94,42,2
85, 4,2
69,57,5
2 ,26,8
85,42,2
58,42,4
85,41,6
84,62,2
2 ,28,2
96, 1,20
70,88,27
96, 5,4
96, 4,4
96, 7,4
96, 6,2
70,82,2
70,80,2
28,13,26
28,14,10
28,15,32
70,84,16
28,17,44
58,95,16
58,94,8
70,13,4
95,93,2
70,15,2
70,14,2
2 ,57,4
38,26,4
38,28,44
80,79,12
4 , 9,4
84, 4,8
80,70,6
90,70,2
7 ,62,4
90,77,2
61,14,2
42,85,2
42,84,6
28,69,6
42,82,6
42,80,10
28,67,4
28,61,2
42,88,6
90,84,10
4 ,56,4
90,82,6
96,77,6
96,79,4
14, 7,4
14, 6,5
14, 4,4
26,70,2
38,41,10
9 , 4,6
15,88,2
94,96,2
94,95,12
15,82,10
15,80,14
15,38,6
9 ,77,2
61,85,2
88,42,4
56,88,7
6 ,95,2
56,84,2
56,85,60
56,82,20
56,80,12
28, 7,22
5 ,28,2
6 ,96,2
15,13,17
15,14,2
15,17,16
80,96,4
80,94,10
80,95,18
79,17,2
79,14,10
15,79,2
2 ,69,9
62, 6,2
62, 7,4
62, 1,6
1 ,41,2
57,38,4
62, 9,2
2 ,67,10
4 ,82,4
4 ,84,6
69,14,2
14,17,2
56,38,29
85,90,2
85,95,32
85,94,26
94,38,22
93,14,30
1 , 6,2
58,56,10
79, 6,10
79, 7,16
94,77,4
38, 9,4
70, 6,1
15,62,2
38, 5,10
95,77,2
38, 7,11
38, 6,2
38, 1,2
